Rank,Title,Author,Volume Sales,Publisher,Genre
59,"Eats, Shoots and Leaves:The Zero Tolerance Approach to Punctuation","Truss, Lynne","1,023,688",Profile Books Group,Usage & Writing Guides
60,Delia's How to Cook:(Bk.1),"Smith, Delia","1,015,956",Random House,Food & Drink: General
61,Chocolat,"Harris, Joanne","1,009,873",Transworld,General & Literary Fiction
62,"Boy in the Striped Pyjamas,The","Boyne, John","1,004,414",Random House Childrens Books G,Young Adult Fiction
63,My Sister's Keeper,"Picoult, Jodi","1,003,780",Hodder & Stoughton,General & Literary Fiction
64,"Amber Spyglass,The:His Dark Materials S.","Pullman, Philip","1,002,314",Scholastic Ltd.,Young Adult Fiction
65,To Kill a Mockingbird,"Lee, Harper","998,213",Random House,General & Literary Fiction
66,"Men are from Mars, Women are from Venus:A Practical Guide for Improvin","Gray, John","992,846",HarperCollins,Popular Culture & Media: General Interest
67,Dear Fatty,"French, Dawn","986,753",Random House,Autobiography: The Arts
68,"Short History of Tractors in Ukrainian,A","Lewycka, Marina","986,115",Penguin,General & Literary Fiction
69,Hannibal,"Harris, Thomas","970,509",Random House,"Crime, Thriller & Adventure"
70,"Lord of the Rings,The","Tolkien, J. R. R.","967,466",HarperCollins,Science Fiction & Fantasy
71,Stupid White Men:...and Other Sorry Excuses for the State of the Natio,"Moore, Michael","963,353",Penguin,Current Affairs & Issues
72,"Interpretation of Murder,The","Rubenfeld, Jed","962,515",Headline,"Crime, Thriller & Adventure"
73,Sharon Osbourne Extreme:My Autobiography,"Osbourne, Sharon","959,496","Little, Brown Book",Autobiography: The Arts
74,"Alchemist,The:A Fable About Following Your Dream","Coelho, Paulo","956,114",HarperCollins,General & Literary Fiction
75,At My Mother's Knee ...:and Other Low Joints,"O'Grady, Paul","945,640",Transworld,Autobiography: The Arts
76,Notes from a Small Island,"Bryson, Bill","931,312",Transworld,Travel Writing
77,"Return of the Naked Chef,The","Oliver, Jamie","925,425",Penguin,Food & Drink: General
78,Bridget Jones: The Edge of Reason,"Fielding, Helen","924,695",Pan Macmillan,General & Literary Fiction
79,Jamie's Italy,"Oliver, Jamie","906,968",Penguin,National & Regional Cuisine
80,I Can Make You Thin,"McKenna, Paul","905,086",Transworld,Fitness & Diet
81,Down Under,"Bryson, Bill","890,847",Transworld,Travel Writing
82,"Summons,The","Grisham, John","869,671",Random House,"Crime, Thriller & Adventure"
83,Small Island,"Levy, Andrea","869,659",Headline,General & Literary Fiction
84,Nigella Express,"Lawson, Nigella","862,602",Random House,Food & Drink: General
85,Brick Lane,"Ali, Monica","856,540",Transworld,General & Literary Fiction
86,"Memory Keeper's Daughter,The","Edwards, Kim","845,858",Penguin,General & Literary Fiction
87,Room on the Broom,"Donaldson, Julia","842,535",Pan Macmillan,Picture Books
88,About a Boy,"Hornby, Nick","828,215",Penguin,General & Literary Fiction
89,My Booky Wook,"Brand, Russell","820,563",Hodder & Stoughton,Autobiography: The Arts
90,"God Delusion,The","Dawkins, Richard","816,907",Transworld,Popular Science
91,"""Beano"" Annual,The",0,"816,585",D.C. Thomson,Children's Annuals
92,White Teeth,"Smith, Zadie","815,586",Penguin,General & Literary Fiction
93,"House at Riverton,The","Morton, Kate","814,370",Pan Macmillan,General & Literary Fiction
94,"Book Thief,The","Zusak, Markus","809,641",Transworld,General & Literary Fiction
95,Nights of Rain and Stars,"Binchy, Maeve","808,900",Orion,General & Literary Fiction
96,"Ghost,The","Harris, Robert","807,311",Random House,General & Literary Fiction
97,Happy Days with the Naked Chef,"Oliver, Jamie","794,201",Penguin,Food & Drink: General
98,"Hunger Games,The:Hunger Games Trilogy","Collins, Suzanne","792,187",Scholastic Ltd.,Young Adult Fiction
99,"Lost Boy,The:A Foster Child's Search for the Love of a Family","Pelzer, Dave","791,507",Orion,Biography: General
100,Jamie's Ministry of Food:Anyone Can Learn to Cook in 24 Hours,"Oliver, Jamie","791,095",Penguin,Food & Drink: General
